월,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2025.01,330499,US,미국,85724777,2614905
2025.01,330499,CN,중국,115750059,3685409
2025.01,330499,JP,일본,51830387,1590402
2025.01,330499,VN,베트남,24779499,853121
2025.01,330499,HK,홍콩,52618953,1030332
2025.01,330499,FR,프랑스,5387433,137678
2025.01,330499,OTHER,기타,226277142,7424317
2025.02,330499,US,미국,98838016,3187086
2025.02,330499,CN,중국,142614807,4129185
2025.02,330499,JP,일본,54221940,1683627
2025.02,330499,VN,베트남,33104326,1062318
2025.02,330499,HK,홍콩,50953549,1097367
2025.02,330499,FR,프랑스,8322576,219790
2025.02,330499,OTHER,기타,278110974,9390249
2025.03,330499,US,미국,104396850,3654461
2025.03,330499,CN,중국,173221436,5187679
2025.03,330499,JP,일본,59671835,1664415
2025.03,330499,VN,베트남,32194578,952049
2025.03,330499,HK,홍콩,42577006,1048260
2025.03,330499,FR,프랑스,7100387,193855
2025.03,330499,OTHER,기타,289643334,9301428
2025.04,330499,US,미국,128699440,5001800
2025.04,330499,CN,중국,179832954,6374540
2025.04,330499,JP,일본,58578031,1528829
2025.04,330499,VN,베트남,27929067,946748
2025.04,330499,HK,홍콩,52775648,1207342
2025.04,330499,FR,프랑스,8251969,195889
2025.04,330499,OTHER,기타,315953240,10233267
2025.05,330499,US,미국,141897870,4847393
2025.05,330499,CN,중국,144505840,5053512
2025.05,330499,JP,일본,53208311,1537371
2025.05,330499,VN,베트남,25552268,721400
2025.05,330499,HK,홍콩,43523282,1084250
2025.05,330499,FR,프랑스,6419991,158698
2025.05,330499,OTHER,기타,303630106,9605274
2025.06,330499,US,미국,120242917,4711662
2025.06,330499,CN,중국,106797921,4153538
2025.06,330499,JP,일본,62378831,1767606
2025.06,330499,VN,베트남,21373959,683901
2025.06,330499,HK,홍콩,48980788,961058
2025.06,330499,FR,프랑스,7674444,137635
2025.06,330499,OTHER,기타,324603233,10174665
2025.07,330499,US,미국,141331932,5127445
2025.07,330499,CN,중국,109520546,4442904
2025.07,330499,JP,일본,53246551,1713449
2025.07,330499,VN,베트남,31571626,978950
2025.07,330499,HK,홍콩,35781146,909627
2025.07,330499,FR,프랑스,8079271,214821
2025.07,330499,OTHER,기타,342854885,10963282
2025.08,330499,US,미국,123589726,4533328
