월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2021.01,인터페이스보드,9030901000,US,미국,2127723,663
2021.01,인터페이스보드,9030901000,CN,중국,11801989,8506
2021.01,인터페이스보드,9030901000,JP,일본,3332885,4024
2021.01,인터페이스보드,9030901000,VN,베트남,279433,267
2021.01,인터페이스보드,9030901000,HK,홍콩,29152,10
2021.01,인터페이스보드,9030901000,FR,프랑스,14000,0
2021.01,인터페이스보드,9030901000,PL,폴란드,0,0
2021.01,인터페이스보드,9030901000,GB,영국,8100,1
2021.01,인터페이스보드,9030901000,OTHER,기타,10895395,8971
2021.02,인터페이스보드,9030901000,US,미국,2096744,2251
2021.02,인터페이스보드,9030901000,CN,중국,9610927,12428
2021.02,인터페이스보드,9030901000,JP,일본,2957458,2775
2021.02,인터페이스보드,9030901000,VN,베트남,209406,123
2021.02,인터페이스보드,9030901000,HK,홍콩,179533,45
2021.02,인터페이스보드,9030901000,FR,프랑스,529,0
2021.02,인터페이스보드,9030901000,PL,폴란드,0,0
2021.02,인터페이스보드,9030901000,GB,영국,0,0
2021.02,인터페이스보드,9030901000,OTHER,기타,9824555,5719
2021.03,인터페이스보드,9030901000,US,미국,1585512,1086
2021.03,인터페이스보드,9030901000,CN,중국,14048344,8926
2021.03,인터페이스보드,9030901000,JP,일본,2868516,2872
2021.03,인터페이스보드,9030901000,VN,베트남,192427,138
2021.03,인터페이스보드,9030901000,HK,홍콩,3125,0
2021.03,인터페이스보드,9030901000,FR,프랑스,9470,11
2021.03,인터페이스보드,9030901000,PL,폴란드,0,0
2021.03,인터페이스보드,9030901000,GB,영국,0,0
2021.03,인터페이스보드,9030901000,OTHER,기타,11557043,8226
2021.04,인터페이스보드,9030901000,US,미국,1331932,1663
2021.04,인터페이스보드,9030901000,CN,중국,16887053,10878
2021.04,인터페이스보드,9030901000,JP,일본,2629589,3364
2021.04,인터페이스보드,9030901000,VN,베트남,289633,227
2021.04,인터페이스보드,9030901000,HK,홍콩,13400,6
2021.04,인터페이스보드,9030901000,FR,프랑스,0,0
2021.04,인터페이스보드,9030901000,PL,폴란드,0,0
2021.04,인터페이스보드,9030901000,GB,영국,0,0
2021.04,인터페이스보드,9030901000,OTHER,기타,10879790,6203
2021.05,인터페이스보드,9030901000,US,미국,1027420,639
2021.05,인터페이스보드,9030901000,CN,중국,20743821,15136
2021.05,인터페이스보드,9030901000,JP,일본,2993547,3415
2021.05,인터페이스보드,9030901000,VN,베트남,184370,93
2021.05,인터페이스보드,9030901000,HK,홍콩,26815,12
2021.05,인터페이스보드,9030901000,FR,프랑스,10000,0
2021.05,인터페이스보드,9030901000,PL,폴란드,0,0
2021.05,인터페이스보드,9030901000,GB,영국,0,0
2021.05,인터페이스보드,9030901000,OTHER,기타,7091428,6484
2021.06,인터페이스보드,9030901000,US,미국,1848823,2200
2021.06,인터페이스보드,9030901000,CN,중국,17515281,15826
2021.06,인터페이스보드,9030901000,JP,일본,3070351,4754
2021.06,인터페이스보드,9030901000,VN,베트남,444832,199
2021.06,인터페이스보드,9030901000,HK,홍콩,43470,15
2021.06,인터페이스보드,9030901000,FR,프랑스,0,0
2021.06,인터페이스보드,9030901000,PL,폴란드,0,0
2021.06,인터페이스보드,9030901000,GB,영국,3464,7
2021.06,인터페이스보드,9030901000,OTHER,기타,9113374,5573
2021.07,인터페이스보드,9030901000,US,미국,2478573,663
2021.07,인터페이스보드,9030901000,CN,중국,18914186,13359
2021.07,인터페이스보드,9030901000,JP,일본,3041996,3556
2021.07,인터페이스보드,9030901000,VN,베트남,722742,424
2021.07,인터페이스보드,9030901000,HK,홍콩,143482,98
2021.07,인터페이스보드,9030901000,FR,프랑스,11207,1
2021.07,인터페이스보드,9030901000,PL,폴란드,0,0
2021.07,인터페이스보드,9030901000,GB,영국,4000,1
2021.07,인터페이스보드,9030901000,OTHER,기타,8165527,4665
2021.08,인터페이스보드,9030901000,US,미국,1804331,1245
2021.08,인터페이스보드,9030901000,CN,중국,15810790,11502
2021.08,인터페이스보드,9030901000,JP,일본,2312965,3877
2021.08,인터페이스보드,9030901000,VN,베트남,232881,116
2021.08,인터페이스보드,9030901000,HK,홍콩,152280,4
2021.08,인터페이스보드,9030901000,FR,프랑스,0,0
2021.08,인터페이스보드,9030901000,PL,폴란드,0,0
2021.08,인터페이스보드,9030901000,GB,영국,0,0
2021.08,인터페이스보드,9030901000,OTHER,기타,6255254,4055
2021.09,인터페이스보드,9030901000,US,미국,1985844,1647
2021.09,인터페이스보드,9030901000,CN,중국,12291726,10816
2021.09,인터페이스보드,9030901000,JP,일본,1715599,1995
2021.09,인터페이스보드,9030901000,VN,베트남,125361,47
2021.09,인터페이스보드,9030901000,HK,홍콩,103289,2
2021.09,인터페이스보드,9030901000,FR,프랑스,1060,4
2021.09,인터페이스보드,9030901000,PL,폴란드,0,0
2021.09,인터페이스보드,9030901000,GB,영국,4108,0
2021.09,인터페이스보드,9030901000,OTHER,기타,6675720,3813
2021.10,인터페이스보드,9030901000,US,미국,1704236,1193
2021.10,인터페이스보드,9030901000,CN,중국,16673320,15156
2021.10,인터페이스보드,9030901000,JP,일본,1203225,3263
2021.10,인터페이스보드,9030901000,VN,베트남,194376,94
2021.10,인터페이스보드,9030901000,HK,홍콩,180907,59
2021.10,인터페이스보드,9030901000,FR,프랑스,996,8
