월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2020.01,화장품,330499,CN,중국,143033743,5423222
2020.01,화장품,330499,FR,프랑스,2930974,102810
2020.01,화장품,330499,GB,영국,2312914,79476
2020.01,화장품,330499,HK,홍콩,57402720,1794254
2020.01,화장품,330499,JP,일본,24535112,660151
2020.01,화장품,330499,OTHER,기타,81754172,4054076
2020.01,화장품,330499,PL,폴란드,1183720,40691
2020.01,화장품,330499,US,미국,22668243,1120903
2020.01,화장품,330499,VN,베트남,14630172,349289
2020.01,기초화장품,3304991000,CN,중국,88027312,3354758
2020.01,기초화장품,3304991000,FR,프랑스,2335369,83106
2020.01,기초화장품,3304991000,GB,영국,608366,18632
2020.01,기초화장품,3304991000,HK,홍콩,41033846,1037717
2020.01,기초화장품,3304991000,JP,일본,11020331,334973
2020.01,기초화장품,3304991000,OTHER,기타,46977010,2217873
2020.01,기초화장품,3304991000,PL,폴란드,516893,23678
2020.01,기초화장품,3304991000,US,미국,12773644,572401
2020.01,기초화장품,3304991000,VN,베트남,7377102,214216
2020.01,메이크업화장품,3304992000,CN,중국,12959102,182332
2020.01,메이크업화장품,3304992000,FR,프랑스,374703,10966
2020.01,메이크업화장품,3304992000,GB,영국,4163,169
2020.01,메이크업화장품,3304992000,HK,홍콩,4544834,43970
2020.01,메이크업화장품,3304992000,JP,일본,6813073,136846
2020.01,메이크업화장품,3304992000,OTHER,기타,6943027,240655
2020.01,메이크업화장품,3304992000,PL,폴란드,26861,190
2020.01,메이크업화장품,3304992000,US,미국,4687823,108774
2020.01,메이크업화장품,3304992000,VN,베트남,2323339,30807
2020.01,마스크팩,3307904000,CN,중국,8303268,529094
2020.01,마스크팩,3307904000,FR,프랑스,356312,21501
2020.01,마스크팩,3307904000,GB,영국,150890,10942
2020.01,마스크팩,3307904000,HK,홍콩,2277085,111468
2020.01,마스크팩,3307904000,JP,일본,1383288,100346
2020.01,마스크팩,3307904000,OTHER,기타,4730054,457014
2020.01,마스크팩,3307904000,PL,폴란드,47245,6274
2020.01,마스크팩,3307904000,US,미국,1720843,111467
2020.01,마스크팩,3307904000,VN,베트남,177586,16524
2020.01,변압기,8504,CN,중국,27251607,999180
2020.01,변압기,8504,FR,프랑스,1220084,19415
2020.01,변압기,8504,GB,영국,35273,484
2020.01,변압기,8504,HK,홍콩,3865915,139661
2020.01,변압기,8504,JP,일본,6161697,390634
2020.01,변압기,8504,OTHER,기타,59584690,3706411
2020.01,변압기,8504,PL,폴란드,5291768,145268
2020.01,변압기,8504,US,미국,26448928,1527889
2020.01,변압기,8504,VN,베트남,14576899,487095
2020.01,반도체,8542,CN,중국,2501414984,357358
2020.01,반도체,8542,FR,프랑스,10605017,1898
2020.01,반도체,8542,GB,영국,353276,188
2020.01,반도체,8542,HK,홍콩,1340394705,189607
2020.01,반도체,8542,JP,일본,48664497,13961
2020.01,반도체,8542,OTHER,기타,1104051460,614066
2020.01,반도체,8542,PL,폴란드,11392405,7966
2020.01,반도체,8542,US,미국,109834067,17754
