품목명,HS코드,국가코드,국가명,시작월,종료월,오류
화장품,330499,US,미국,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,CN,중국,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,JP,일본,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,VN,베트남,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,HK,홍콩,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,FR,프랑스,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,PL,폴란드,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,GB,영국,202606,202608,HS코드 누락 또는 요청 코드 불일치
화장품,330499,-,-,202606,202606,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
화장품,330499,-,-,202607,202607,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
화장품,330499,-,-,202608,202608,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
기초화장품,3304991000,US,미국,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,CN,중국,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,JP,일본,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,VN,베트남,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,HK,홍콩,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,FR,프랑스,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,PL,폴란드,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,GB,영국,202601,202608,HS코드 누락 또는 요청 코드 불일치
기초화장품,3304991000,-,-,202601,202601,일반 품목 합계 없음; 기존 월 유지
기초화장품,3304991000,-,-,202602,202602,일반 품목 합계 없음; 기존 월 유지
기초화장품,3304991000,-,-,202603,202603,일반 품목 합계 없음; 기존 월 유지
기초화장품,3304991000,-,-,202604,202604,일반 품목 합계 없음; 기존 월 유지
기초화장품,3304991000,-,-,202605,202605,일반 품목 합계 없음; 기존 월 유지
기초화장품,3304991000,-,-,202606,202606,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
기초화장품,3304991000,-,-,202607,202607,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
기초화장품,3304991000,-,-,202608,202608,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
기초화장품,3304991000,-,-,202501,202512,해당 구간 일반 품목 합계 없음; 조회 보류
기초화장품,3304991000,-,-,202401,202412,해당 구간 일반 품목 합계 없음; 조회 보류
기초화장품,3304991000,-,-,202301,202312,해당 구간 일반 품목 합계 없음; 조회 보류
기초화장품,3304991000,-,-,202201,202212,해당 구간 일반 품목 합계 없음; 조회 보류
기초화장품,3304991000,-,-,202101,202112,해당 구간 일반 품목 합계 없음; 조회 보류
기초화장품,3304991000,-,-,202001,202012,해당 구간 일반 품목 합계 없음; 조회 보류
메이크업화장품,3304992000,US,미국,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,CN,중국,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,JP,일본,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,VN,베트남,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,HK,홍콩,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,FR,프랑스,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,PL,폴란드,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,GB,영국,202601,202608,HS코드 누락 또는 요청 코드 불일치
메이크업화장품,3304992000,-,-,202601,202601,일반 품목 합계 없음; 기존 월 유지
메이크업화장품,3304992000,-,-,202602,202602,일반 품목 합계 없음; 기존 월 유지
메이크업화장품,3304992000,-,-,202603,202603,일반 품목 합계 없음; 기존 월 유지
메이크업화장품,3304992000,-,-,202604,202604,일반 품목 합계 없음; 기존 월 유지
메이크업화장품,3304992000,-,-,202605,202605,일반 품목 합계 없음; 기존 월 유지
메이크업화장품,3304992000,-,-,202606,202606,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
메이크업화장품,3304992000,-,-,202607,202607,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
메이크업화장품,3304992000,-,-,202608,202608,8개국 중 누락 응답 있음; 0으로 채우지 않고 기존 월 유지
메이크업화장품,3304992000,-,-,202501,202512,해당 구간 일반 품목 합계 없음; 조회 보류
메이크업화장품,3304992000,-,-,202401,202412,해당 구간 일반 품목 합계 없음; 조회 보류
메이크업화장품,3304992000,-,-,202301,202312,해당 구간 일반 품목 합계 없음; 조회 보류
메이크업화장품,3304992000,-,-,202201,202212,해당 구간 일반 품목 합계 없음; 조회 보류
메이크업화장품,3304992000,-,-,202101,202112,해당 구간 일반 품목 합계 없음; 조회 보류
메이크업화장품,3304992000,-,-,202001,202012,해당 구간 일반 품목 합계 없음; 조회 보류
마스크팩,3307904000,US,미국,202601,202608,HS코드 누락 또는 요청 코드 불일치
마스크팩,3307904000,CN,중국,202601,202608,HS코드 누락 또는 요청 코드 불일치
마스크팩,3307904000,JP,일본,202601,202608,HS코드 누락 또는 요청 코드 불일치
마스크팩,3307904000,VN,베트남,202601,202608,HS코드 누락 또는 요청 코드 불일치
