월,품목명,HS코드,국가코드,국가명,수출금액_USD,수출중량_KG
2026.08,라면,1902301010,CN,중국,50605804,13993028
2026.08,라면,1902301010,FR,프랑스,304493,74023
2026.08,라면,1902301010,GB,영국,2881189,600450
2026.08,라면,1902301010,HK,홍콩,1558547,423560
2026.08,라면,1902301010,JP,일본,4556925,1575326
2026.08,라면,1902301010,OTHER,기타,71532629,15738636
2026.08,라면,1902301010,PL,폴란드,446007,91665
2026.08,라면,1902301010,US,미국,23079908,4366233
2026.08,라면,1902301010,VN,베트남,1658481,448985
2026.08,화장품,330499,CN,중국,118199610,4252500
2026.08,화장품,330499,FR,프랑스,7890013,239342
2026.08,화장품,330499,GB,영국,47792070,1103615
2026.08,화장품,330499,HK,홍콩,32910355,971823
2026.08,화장품,330499,JP,일본,73479453,1919581
2026.08,화장품,330499,OTHER,기타,500278277,11255637
2026.08,화장품,330499,PL,폴란드,12458409,381543
2026.08,화장품,330499,US,미국,192122255,6945619
2026.08,화장품,330499,VN,베트남,28530693,901919
2026.08,기초화장품,3304991000,CN,중국,64992439,2563117
2026.08,기초화장품,3304991000,FR,프랑스,4238375,150321
2026.08,기초화장품,3304991000,GB,영국,22532357,519689
2026.08,기초화장품,3304991000,HK,홍콩,24158416,772496
2026.08,기초화장품,3304991000,JP,일본,37141415,1241788
2026.08,기초화장품,3304991000,OTHER,기타,260825972,6122352
2026.08,기초화장품,3304991000,PL,폴란드,7611321,271513
2026.08,기초화장품,3304991000,US,미국,95933719,3514617
2026.08,기초화장품,3304991000,VN,베트남,12616525,502835
2026.08,메이크업화장품,3304992000,CN,중국,16553324,146639
2026.08,메이크업화장품,3304992000,FR,프랑스,1812205,53080
2026.08,메이크업화장품,3304992000,GB,영국,1032999,16791
2026.08,메이크업화장품,3304992000,HK,홍콩,841764,10262
2026.08,메이크업화장품,3304992000,JP,일본,16695532,334335
2026.08,메이크업화장품,3304992000,OTHER,기타,18857366,421165
2026.08,메이크업화장품,3304992000,PL,폴란드,1741405,30388
2026.08,메이크업화장품,3304992000,US,미국,11487348,291020
2026.08,메이크업화장품,3304992000,VN,베트남,1926760,29629
2026.08,마스크팩,3307904000,CN,중국,12115609,971039
2026.08,마스크팩,3307904000,FR,프랑스,389895,21183
2026.08,마스크팩,3307904000,GB,영국,1957062,83122
2026.08,마스크팩,3307904000,HK,홍콩,2224084,167393
2026.08,마스크팩,3307904000,JP,일본,6233578,762297
2026.08,마스크팩,3307904000,OTHER,기타,17219190,1323792
2026.08,마스크팩,3307904000,PL,폴란드,1032620,93395
2026.08,마스크팩,3307904000,US,미국,11458752,757680
2026.08,마스크팩,3307904000,VN,베트남,1644747,254401
2026.08,DRAM모듈,8473304060,CN,중국,431688771,23225
2026.08,DRAM모듈,8473304060,FR,프랑스,754077,7
2026.08,DRAM모듈,8473304060,GB,영국,0,0
2026.08,DRAM모듈,8473304060,HK,홍콩,1876953892,23253
2026.08,DRAM모듈,8473304060,JP,일본,23733292,439
2026.08,DRAM모듈,8473304060,OTHER,기타,1343658718,19249
2026.08,DRAM모듈,8473304060,PL,폴란드,139009026,2061
2026.08,DRAM모듈,8473304060,US,미국,3824840806,74796
2026.08,DRAM모듈,8473304060,VN,베트남,195517131,33007
2026.08,변압기,8504,CN,중국,22344157,805941
2026.08,변압기,8504,FR,프랑스,109302,2444
2026.08,변압기,8504,GB,영국,9478615,517872
2026.08,변압기,8504,HK,홍콩,2215632,58293
2026.08,변압기,8504,JP,일본,7149581,453700
2026.08,변압기,8504,OTHER,기타,137957412,7256981
2026.08,변압기,8504,PL,폴란드,4051370,93944
2026.08,변압기,8504,US,미국,205183303,12712486
2026.08,변압기,8504,VN,베트남,27142435,525852
2026.08,SSD,8523511000,CN,중국,332075454,11546
2026.08,SSD,8523511000,FR,프랑스,53009,2
2026.08,SSD,8523511000,GB,영국,5986254,283
2026.08,SSD,8523511000,HK,홍콩,373897071,14832
2026.08,SSD,8523511000,JP,일본,48524374,1246
2026.08,SSD,8523511000,OTHER,기타,1024478062,57908
2026.08,SSD,8523511000,PL,폴란드,130070317,5161
2026.08,SSD,8523511000,US,미국,4031586290,143713
2026.08,SSD,8523511000,VN,베트남,32471014,2920
2026.08,MLCC,8532240000,CN,중국,61583273,132269
2026.08,MLCC,8532240000,FR,프랑스,20,1
2026.08,MLCC,8532240000,GB,영국,195,11
2026.08,MLCC,8532240000,HK,홍콩,20843951,134366
2026.08,MLCC,8532240000,JP,일본,4128308,17528
2026.08,MLCC,8532240000,OTHER,기타,37139547,191800
2026.08,MLCC,8532240000,PL,폴란드,1481462,8558
2026.08,MLCC,8532240000,US,미국,5798055,26411
2026.08,MLCC,8532240000,VN,베트남,15175281,108623
2026.08,반도체,8542,CN,중국,16053865339,414775
2026.08,반도체,8542,FR,프랑스,10212166,1479
2026.08,반도체,8542,GB,영국,799462,189
2026.08,반도체,8542,HK,홍콩,5806529959,180812
2026.08,반도체,8542,JP,일본,263743433,24249
2026.08,반도체,8542,OTHER,기타,10621309164,820245
2026.08,반도체,8542,PL,폴란드,40815822,8950
2026.08,반도체,8542,US,미국,356374382,23544
2026.08,반도체,8542,VN,베트남,5082048343,200053
