월,대표품목,조회_HS코드,세부_HS코드,세부품목명,수출금액_USD,수출중량_KG,수입금액_USD,수입중량_KG
2020.01,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,1096495,27213,3176077,29440
2020.02,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2392480,90096,2591524,23526
2020.03,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2605442,99491,3074751,32242
2020.04,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2042868,88631,2441094,20557
2020.05,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3228477,119080,2839093,31269
2020.06,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2295478,70409,4224039,45790
2020.07,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3240343,70695,2413961,23766
2020.08,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2031463,35567,2712983,25317
2020.09,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,918381,9058,3341745,34120
2020.10,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3484327,76047,3253691,35133
2020.11,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3755298,103846,2670010,24603
2020.12,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4782192,185869,3348199,35287
2021.01,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2432076,44900,1972998,20040
2021.02,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2905021,60849,2597849,19733
2021.03,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4145093,75369,3580690,29579
2021.04,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5874125,93988,1621113,17974
2021.05,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2896468,37679,3178901,27589
2021.06,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5248425,60196,4252242,34445
2021.07,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,6065868,126191,3088221,33160
2021.08,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4117133,51800,1987307,24912
2021.09,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4902988,55791,2175286,14858
2021.10,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4835351,84818,1733522,15597
2021.11,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4700087,83754,2856925,24217
2021.12,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4395797,67741,2663450,28873
2022.01,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2507021,44818,2207572,18187
2022.02,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,1997512,67959,1541854,16195
2022.03,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5034650,83627,2298465,17418
2022.04,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3615265,87833,2250706,19105
2022.05,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5138729,92698,2413057,16089
2022.06,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5640399,102048,2356024,16411
2022.07,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3988779,97392,2027421,18398
2022.08,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3482584,31184,2139107,15621
2022.09,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,6217361,136519,3003083,23203
2022.10,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3567811,104243,2078862,20330
2022.11,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4635882,73176,1329723,10579
2022.12,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5902996,83090,1820960,21135
2023.01,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,3474396,63329,2591103,17525
2023.02,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,6109530,92809,2029496,16366
2023.03,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8311601,141774,1577075,13164
2023.04,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,6842734,87296,3086873,25691
2023.05,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8299010,159674,2292859,20708
2023.06,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8194016,128623,2628540,25624
2023.07,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8051464,116988,2815083,21512
2023.08,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5785939,82989,2417315,18531
2023.09,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4602265,101362,3666478,24792
2023.10,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4094997,63060,2527927,16962
2023.11,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5367046,64104,3563689,26084
2023.12,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,2502327,115250,1630670,15704
2024.01,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4087981,42406,2636470,26685
2024.02,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5863029,70118,1989667,11866
2024.03,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8353346,112321,1649560,11332
2024.04,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,10998081,126157,2484067,20574
2024.05,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,10060293,139570,2796105,34625
2024.06,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,11893168,160758,3909942,26803
2024.07,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,12523172,145781,2182043,15672
2024.08,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,9823118,128250,3383015,26634
2024.09,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,10685774,129393,1955168,12224
2024.10,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,10055012,146753,1879747,26399
2024.11,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,6885595,75892,2378546,19973
2024.12,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,7956110,188775,2352809,15867
2025.01,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,14398118,103070,2190585,18868
2025.02,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8916298,104649,2261075,14975
2025.03,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,7050774,81088,2655719,16069
2025.04,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,10744325,130505,2776148,27381
2025.05,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5147695,48725,1450973,16929
2025.06,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,6672605,124073,3796362,28267
2025.07,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,12332871,100477,2803519,18383
2025.08,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,4437510,37379,2591044,20657
2025.09,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,7566361,138502,2007928,30857
2025.10,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,7966531,75839,3559524,29868
2025.11,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5419747,94653,2161007,15924
2025.12,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,5725698,91115,2647066,23801
2026.01,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,7565098,49720,2346262,21597
2026.02,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,6753578,84861,2128665,23289
2026.03,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,9912623,105958,2972918,26840
2026.04,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,13190420,136622,2668367,22981
2026.05,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,11325976,130357,2471119,21894
2026.06,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8788929,67159,3309293,28032
2026.07,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,11942420,110765,3938800,32544
2026.08,창상피복재,3005904000,3005904000,조제 드레싱과 습포제,8586847,60676,2629973,21081
