월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2026.08,라면,1902301010,156623983,37311906,4.1977,36.2,3.69
2026.08,양극재 NCM,2841909020,430158884,15411085,27.9123,45.84,6.78
2026.08,톡신,300249,54770820,67443,812.1053,36.58,-16.72
2026.08,톡신,3002491000,52048744,47978,1084.8461,40.69,-17.1
2026.08,창상피복재,3005904000,8586847,60676,141.5197,93.51,-28.1
2026.08,화장품,330499,1013661135,27971579,36.239,58.94,-1.12
2026.08,기초화장품,3304991000,530050539,15658728,33.8502,49.37,0.55
2026.08,메이크업화장품,3304992000,70948703,1333309,53.2125,9.92,-2.21
2026.08,필러,3304999000,409410767,10723014,38.1806,89.06,-3.1
2026.08,마스크팩,3307904000,54275537,4434302,12.2399,9.47,-10.8
2026.08,동박,7410211000,73243412,799896,91.5662,28.31,-18.06
2026.08,알루미늄박,7606120000,279714381,64675189,4.3249,23.77,-13.72
2026.08,레이저마커장비,8456119000,7449257,276965,26.896,223.19,223.7
2026.08,DRAM모듈,8473304060,7836155713,176037,44514.2539,294.31,2.11
2026.08,SIC링(2),8486902040,142713224,497877,286.6435,12.08,-10.83
2026.08,SIC링(1),8486902090,158401867,376492,420.731,14.4,-15.44
2026.08,변압기,8504,415631807,22427513,18.5322,19.3,4.16
2026.08,대형변압기,8504230000,176335897,8162363,21.6035,71.69,45.91
2026.08,리튬1차전지,8506500000,10268559,110999,92.5104,-18.6,-35.35
2026.08,리튬이온전지_ESS_proxy,850760,304112037,10110424,30.0791,4.77,-16.47
2026.08,SSD,8523511000,5979141845,237611,25163.5734,480.45,32.57
2026.08,MLCC,8532240000,146150092,619567,235.8907,15.63,-5.56
2026.08,PCB,853400,489530470,1402048,349.1539,15.11,-0.13
2026.08,"GDDR기판, FPCB",8534002000,178292900,283480,628.9435,0.05,-1.42
2026.08,PCB,8534009000,309526000,1101544,280.9929,25.83,0.51
2026.08,소켓,8536909090,91035543,1826995,49.828,11.95,-21.19
2026.08,태양광패널,8541430000,17245893,4216966,4.0896,158.97,127.85
2026.08,반도체전체,8542,38235698070,1674296,22836.8807,203.08,16.84
2026.08,DRAM,8542321010,15733149397,177730,88522.7558,501.44,16.1
2026.08,NAND Flash,8542321030,2862152422,28379,100854.5904,343.42,60.74
2026.08,MCP,8542323000,12224588941,123653,98862.049,165.54,21.19
2026.08,리드프레임,8542900000,44351055,306481,144.7106,40.27,-7.18
2026.08,해저케이블(2),8544602010,47971742,5723291,8.3818,87.95,3.13
2026.08,해저케이블(1),8544603010,67973286,4722648,14.393,3.24,28.9
2026.08,체성분분석기,9018198000,6799310,36804,184.7438,64.6,-26.34
2026.08,인터페이스보드,9030901000,85613595,69086,1239.2322,74.1,-9.5
