월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2020.01,창상피복재,3005904000,1096495,27213,40.2931,,
2020.02,창상피복재,3005904000,2392480,90096,26.5548,,118.19
2020.03,창상피복재,3005904000,2605442,99491,26.1877,,8.9
2020.04,창상피복재,3005904000,2042868,88631,23.0491,,-21.59
2020.05,창상피복재,3005904000,3228477,119080,27.1118,,58.04
2020.06,창상피복재,3005904000,2295478,70409,32.6021,,-28.9
2020.07,창상피복재,3005904000,3240343,70695,45.8355,,41.16
2020.08,창상피복재,3005904000,2031463,35567,57.1165,,-37.31
2020.09,창상피복재,3005904000,918381,9058,101.3889,,-54.79
2020.10,창상피복재,3005904000,3484327,76047,45.8181,,279.4
2020.11,창상피복재,3005904000,3755298,103846,36.1622,,7.78
2020.12,창상피복재,3005904000,4782192,185869,25.7288,,27.35
2021.01,창상피복재,3005904000,2432076,44900,54.1665,121.8,-49.14
2021.02,창상피복재,3005904000,2905021,60849,47.7415,21.42,19.45
2021.03,창상피복재,3005904000,4145093,75369,54.9973,59.09,42.69
2021.04,창상피복재,3005904000,5874125,93988,62.4987,187.54,41.71
2021.05,창상피복재,3005904000,2896468,37679,76.8722,-10.28,-50.69
2021.06,창상피복재,3005904000,5248425,60196,87.1889,128.64,81.2
2021.07,창상피복재,3005904000,6065868,126191,48.0689,87.2,15.58
2021.08,창상피복재,3005904000,4117133,51800,79.4813,102.67,-32.13
2021.09,창상피복재,3005904000,4902988,55791,87.8813,433.87,19.09
2021.10,창상피복재,3005904000,4835351,84818,57.0085,38.77,-1.38
2021.11,창상피복재,3005904000,4700087,83754,56.1178,25.16,-2.8
2021.12,창상피복재,3005904000,4395797,67741,64.8912,-8.08,-6.47
2022.01,창상피복재,3005904000,2507021,44818,55.9378,3.08,-42.97
2022.02,창상피복재,3005904000,1997512,67959,29.3929,-31.24,-20.32
2022.03,창상피복재,3005904000,5034650,83627,60.2036,21.46,152.05
2022.04,창상피복재,3005904000,3615265,87833,41.1607,-38.45,-28.19
2022.05,창상피복재,3005904000,5138729,92698,55.4352,77.41,42.14
2022.06,창상피복재,3005904000,5640399,102048,55.272,7.47,9.76
2022.07,창상피복재,3005904000,3988779,97392,40.9559,-34.24,-29.28
2022.08,창상피복재,3005904000,3482584,31184,111.6786,-15.41,-12.69
2022.09,창상피복재,3005904000,6217361,136519,45.5421,26.81,78.53
2022.10,창상피복재,3005904000,3567811,104243,34.2259,-26.21,-42.62
2022.11,창상피복재,3005904000,4635882,73176,63.3525,-1.37,29.94
2022.12,창상피복재,3005904000,5902996,83090,71.0434,34.29,27.33
2023.01,창상피복재,3005904000,3474396,63329,54.8626,38.59,-41.14
2023.02,창상피복재,3005904000,6109530,92809,65.8291,205.86,75.84
2023.03,창상피복재,3005904000,8311601,141774,58.6257,65.09,36.04
2023.04,창상피복재,3005904000,6842734,87296,78.3854,89.27,-17.67
2023.05,창상피복재,3005904000,8299010,159674,51.9747,61.5,21.28
2023.06,창상피복재,3005904000,8194016,128623,63.7057,45.27,-1.27
2023.07,창상피복재,3005904000,8051464,116988,68.823,101.85,-1.74
2023.08,창상피복재,3005904000,5785939,82989,69.7193,66.14,-28.14
2023.09,창상피복재,3005904000,4602265,101362,45.4042,-25.98,-20.46
2023.10,창상피복재,3005904000,4094997,63060,64.9381,14.78,-11.02
2023.11,창상피복재,3005904000,5367046,64104,83.724,15.77,31.06
2023.12,창상피복재,3005904000,2502327,115250,21.7122,-57.61,-53.38
2024.01,창상피복재,3005904000,4087981,42406,96.401,17.66,63.37
2024.02,창상피복재,3005904000,5863029,70118,83.6166,-4.03,43.42
2024.03,창상피복재,3005904000,8353346,112321,74.3703,0.5,42.47
