월,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2025.01,562368250,17336164,32.44,,
2025.02,666166188,20769622,32.07,,18.46
2025.03,708805426,22002147,32.22,,6.4
2025.04,772020349,25488415,30.29,,8.92
2025.05,718737668,23007898,31.24,,-6.9
2025.06,692052093,22590065,30.64,,-3.71
2025.07,722385957,24350478,29.67,,4.38
2025.08,637771835,21545961,29.6,,-11.71
2025.09,853082225,28889124,29.53,,33.76
2025.10,677275778,22189074,30.52,,-20.61
2025.11,698428323,22607630,30.89,,3.12
2025.12,812418829,25502774,31.86,,16.32
2026.01,775332040,24660651,31.44,37.87,-4.56
2026.02,694415041,21725398,31.96,4.24,-10.44
2026.03,897296361,27673851,32.42,26.59,29.22
2026.04,1014671507,32220526,31.49,31.43,13.08
2026.05,916856208,27899522,32.86,27.56,-9.64
2026.06,1011221620,31320882,32.29,46.12,10.29
2026.07,1025170495,32060338,31.98,41.91,1.38
2026.08,1013661135,27971579,36.24,58.94,-1.12
