월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2020.01,라면,1902301010,37380722,11050296,3.3828,,
2020.01,양극재 NCM,2841909020,167240815,6785464,24.6469,,
2020.01,톡신,300249,7955216,8169,973.8298,,
2020.01,톡신,3002491000,7955216,8169,973.8298,,
2020.01,창상피복재,3005904000,1096495,27213,40.2931,,
2020.01,화장품,330499,350451770,13624872,25.7215,,
2020.01,기초화장품,3304991000,210669873,7857354,26.8118,,
2020.01,메이크업화장품,3304992000,38676925,754709,51.2475,,
2020.01,필러,3304999000,99890111,4882301,20.4596,,
2020.01,마스크팩,3307904000,19146571,1364630,14.0306,,
2020.01,동박,7410211000,20874561,361101,57.8081,,
2020.01,알루미늄박,7606120000,127964451,49475830,2.5864,,
2020.01,레이저마커장비,8456119000,14204147,171545,82.8013,,
2020.01,DRAM모듈,8473304060,671991431,153880,4366.9836,,
2020.01,변압기,8504,144436861,7416037,19.4763,,
2020.01,대형변압기,8504230000,10713924,1300688,8.2371,,
2020.01,리튬1차전지,8506500000,6514181,109614,59.4284,,
2020.01,리튬이온전지_ESS_proxy,850760,354551918,9221574,38.4481,,
2020.01,SSD,8523511000,687959102,190558,3610.2347,,
2020.01,MLCC,8532240000,74872225,329846,226.9915,,
2020.01,PCB,853400,411205427,1408567,291.9317,,
2020.01,"GDDR기판, FPCB",8534002000,200663803,322629,621.9646,,
2020.01,PCB,8534009000,209084585,1069264,195.5407,,
2020.01,소켓,8536909090,57684109,736295,78.3437,,
2020.01,태양광패널,8541430000,160851146,21175626,7.5961,,
2020.01,반도체전체,8542,6116206443,1330476,4597.0062,,
2020.01,DRAM,8542321010,1316193331,85111,15464.4327,,
2020.01,NAND Flash,8542321030,565558830,52727,10726.1712,,
2020.01,MCP,8542323000,1299516735,39856,32605.2974,,
2020.01,해저케이블(2),8544602010,7967395,1649165,4.8312,,
2020.01,해저케이블(1),8544603010,26516687,3944864,6.7218,,
2020.01,체성분분석기,9018198000,9429680,73281,128.6784,,
2020.01,인터페이스보드,9030901000,23770629,19097,1244.7311,,
2020.02,라면,1902301010,42591411,12514692,3.4033,,13.94
